問題No,学年・学期,単元ID,単元名,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答番号,解説１,解説２,解説３,解説４,図１,図２,国試,,,,,,,,,,,,
1,1100,1000,香粧品概論,香粧品の製造や販売を厳しく規制している法律の名前は何ですか？,医師法,薬機法,理容師法・美容師法,,1,不正解。　医師法は医療行為を規制する法律です。,正解です。　正式名称を「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」といいます。,不正解。　理容師法・美容師法は、資格や施設を規制する法律です。,,,,,,,,,,,,,,,,
2,1100,1000,香粧品概論,薬機法において、香粧品は主に何と何に分類されますか？,医薬品と医薬部外品,化粧品と医薬部外品,化粧品と雑貨,,1,不正解。　香粧品の中に医薬品は含まれません。,正解です。　効能が緩和な「化粧品」と、特定の有効成分を含む「医薬部外品」に分けられます。,不正解。　香粧品の中に雑貨は含まれません。,,,,,,,,,,,,,,,,
3,1100,1000,香粧品概論,全成分表示義務があるのはどれですか？,化粧品,医薬部外品,両方,,0,正解です。　化粧品にはすべての成分を表示する義務がありますが、医薬部外品は一部の例外を除き異なります。,不正解。　化粧品にはすべての成分を表示する義務がありますが、医薬部外品は一部の例外を除き異なります。,不正解。　化粧品にはすべての成分を表示する義務がありますが、医薬部外品は一部の例外を除き異なります。,,,,,,,,,,,,,,,,
4,1100,1000,香粧品概論,香粧品の使用期限について、特に記載がない場合の目安はどのくらい？,約半年,未開封で約3年,期限はない,,1,不正解。　一般的な製品はもっと長く持ちます。,正解です。　適切な保存状態で「未開封なら3年」品質が保持されるよう設計されています。,不正解。　開封後はなるべく早く使い切るのが基本です。,,,,,,,,,,,,,,,,
5,1101,1000,香粧品概論,香粧品の定義を定めている法律は？,理容師法・美容師法,医薬品医療機器等法,PL法,,2,不l正解。　理容師・美容師法は免許や業務のルールです。正解は「医薬品医療機器等法（薬機法）」です。,正解です。　「医薬品医療機器等法（薬機法）」で香粧品の品質や安全性が厳しく定められています。,不l正解。　PL法は製品の欠陥による被害から消費者を守る法律です。正解は「医薬品医療機器等法」です。,,,,,,,,,,,,,,,,
6,1101,1000,香粧品概論,化粧という行為は、人間特有のどのような欲求の現れですか？,自己顕示欲,承認欲求,生存欲求,,1,正解です。　自分をより良く見せたい、個性を出したいという「自己顕示欲」の現れとされます。,不l正解。　他人に認めてもらいたい「承認欲求」も近いですが、教科書では「自己顕示欲」と定義されています。,不l正解。　生存欲求とは異なる、人間ならではの精神的な欲求に基づいています。,,,,,,,,,,,,,,,,
7,1101,1000,香粧品概論,理容師・美容師が薬剤を使う際、必ず必要なのは客の何？,氏名の確認,本人の同意,住所の確認,,2,不l正解。　氏名も大切ですが、法律上、薬剤を使用する際は「本人の同意」が不可欠です。,正解です。　思わぬ肌の異常（トラブル）などを防ぐため、施術の前に「本人の同意」を得ることが義務付けられています。,不l正解。　住所確認よりも、施術に対する「本人の同意」が重要です。,,,,,,,,,,,,,,,,
8,1101,1000,香粧品概論,香粧品を使用する際、最も優先されるべきことは？,香りの良さ,安全性,価格の安さ,,2,不l正解。　香りは大切な要素ですが、直接身体に使用するものとして最も優先すべきは「安全性」です。,正解です。　香粧品は皮膚や毛髪に直接、かつ長期間使用するため、副作用や刺激がないという安全性が第一に求められます。,不l正解。　いくら安くても、肌トラブル（肌の異常）を起こしては意味がありません。最も重要なのは安全性です。,,,,,,,,,,,,,,,,
9,1102,1000,香粧品概論,皮膚や毛髪を清潔にし、健やかに保つ目的で使われるものは？,医薬品,化粧品,雑貨,,2,不l正解。　医薬品は、病気の診断や治療、予防を目的としたものです。,正解です。　化粧品は、身体を清潔にし、美化し、健やかに保つために使用されるものと定義されています。,不l正解。　身体に直接作用し、美化や清潔を目的とするものは、法律上「化粧品」に分類されます。,,,,,,,,,,,,,,,,
10,1102,1000,香粧品概論,香粧品の品質を長期間安定させるために配合される成分は？,界面活性剤,酸化防止剤・防腐剤,香料,,2,不l正解。　界面活性剤は、主に汚れを落としたり、水と油を混ぜたりする成分です。,正解です。　製品が酸素に触れて傷むのを防ぐ「酸化防止剤」や、菌の繁殖を防ぐ「防腐剤」が品質維持に不可欠です。,不l正解。　香料は製品に香りを付けるための成分であり、品質を長期間安定させるのが主な目的ではありません。,,,,,,,,,,,,,,,,
